sku,laptop_model,component_name,component_code,manufacturer,unit_cost_usd,units_shipped,warranty_period_months,release_date
AA1-CAM-0253,AeroBook Air 13,Webcam Module,CAM,Quanta Computer,138.45,3096,12,2022-09-20
AA1-BAT-0254,AeroBook Air 13,Battery,BAT,Pegatron,207.33,17794,24,2022-04-24
T1G-SSD-0255,TitanForce 15 Gaming,SSD Storage,SSD,Wistron,33.83,8313,24,2023-10-17
WEX-CAM-0256,WorkHorse EliteBook X,Webcam Module,CAM,Foxlink Corp,31.5,16878,36,2023-07-03
AP1-SSD-0257,AeroBook Pro 14,SSD Storage,SSD,Delta Electronics,69.75,551,36,2022-12-28
AA1-FAN-0258,AeroBook Air 13,Cooling Fan,FAN,Delta Electronics,148.85,3305,36,2023-01-05
AP1-MB-0259,AeroBook Pro 14,Motherboard,MB,Quanta Computer,193.15,1926,36,2023-02-01
T1G-RAM-0260,TitanForce 15 Gaming,RAM Module,RAM,Foxlink Corp,83.7,2713,24,2022-09-04
T1-DSP-0261,TravelLite 12,Display Panel,DSP,Pegatron,163.86,11395,12,2022-02-15
T1G-KB-0262,TitanForce 15 Gaming,Keyboard Assembly,KB,Delta Electronics,184.04,15724,36,2023-05-06
T1-BAT-0263,TravelLite 12,Battery,BAT,Delta Electronics,21.38,15497,12,2022-10-28
AA1-MB-0264,AeroBook Air 13,Motherboard,MB,Delta Electronics,195.79,10841,24,2023-06-12
N2-CAM-0265,NimbusPad 2-in-1,Webcam Module,CAM,Wistron,15.76,6762,24,2023-01-01
AP1-KB-0266,AeroBook Pro 14,Keyboard Assembly,KB,Wistron,34.39,12559,24,2023-02-14
T1-CAM-0267,TravelLite 12,Webcam Module,CAM,Quanta Computer,79.88,6621,24,2023-12-10
N2-KB-0268,NimbusPad 2-in-1,Keyboard Assembly,KB,Pegatron,64.54,3207,36,2023-03-11
AP1-FAN-0269,AeroBook Pro 14,Cooling Fan,FAN,Pegatron,218.96,6413,36,2022-10-28
T1G-DSP-0270,TitanForce 15 Gaming,Display Panel,DSP,Foxlink Corp,77.52,10187,24,2023-04-02
WEX-FAN-0271,WorkHorse EliteBook X,Cooling Fan,FAN,Delta Electronics,154.23,12019,24,2022-02-13
T1-KB-0272,TravelLite 12,Keyboard Assembly,KB,Pegatron,219.61,9496,36,2024-03-21
AP1-DSP-0273,AeroBook Pro 14,Display Panel,DSP,Quanta Computer,85.02,5742,12,2022-05-27
WEX-CAM-0274,WorkHorse EliteBook X,Webcam Module,CAM,Foxlink Corp,34.76,8233,36,2023-01-11
T1G-FAN-0275,TitanForce 15 Gaming,Cooling Fan,FAN,Pegatron,14.87,5527,36,2023-04-06
T1G-KB-0276,TitanForce 15 Gaming,Keyboard Assembly,KB,Quanta Computer,169.77,19306,12,2023-06-27
T1G-FAN-0277,TitanForce 15 Gaming,Cooling Fan,FAN,Wistron,145.71,8679,12,2022-01-27
T1-BAT-0278,TravelLite 12,Battery,BAT,Quanta Computer,117.76,18904,12,2022-09-26
T1G-CAM-0279,TitanForce 15 Gaming,Webcam Module,CAM,Delta Electronics,219.23,9857,36,2023-05-18
AA1-DSP-0280,AeroBook Air 13,Display Panel,DSP,Delta Electronics,188.8,15312,12,2024-01-01
N2-DSP-0281,NimbusPad 2-in-1,Display Panel,DSP,Wistron,149.58,2627,36,2023-07-10
T1G-RAM-0282,TitanForce 15 Gaming,RAM Module,RAM,Delta Electronics,158.9,6204,24,2023-06-05
AA1-DSP-0283,AeroBook Air 13,Display Panel,DSP,Delta Electronics,175.92,8257,24,2022-01-27
T1G-KB-0284,TitanForce 15 Gaming,Keyboard Assembly,KB,Quanta Computer,178.38,18576,12,2023-09-19
AP1-DSP-0285,AeroBook Pro 14,Display Panel,DSP,Wistron,92.41,16184,36,2023-02-25
N2-DSP-0286,NimbusPad 2-in-1,Display Panel,DSP,Delta Electronics,214.14,2930,24,2023-04-23
T1-KB-0287,TravelLite 12,Keyboard Assembly,KB,Delta Electronics,194.13,18565,36,2023-08-25
AA1-BAT-0288,AeroBook Air 13,Battery,BAT,Quanta Computer,114.61,2315,12,2023-06-15
AA1-RAM-0289,AeroBook Air 13,RAM Module,RAM,Delta Electronics,42.34,7888,24,2023-06-16
T1G-DSP-0290,TitanForce 15 Gaming,Display Panel,DSP,Wistron,49.62,18549,24,2022-05-09
T1-RAM-0291,TravelLite 12,RAM Module,RAM,Pegatron,121.1,16968,36,2022-06-22
WEX-BAT-0292,WorkHorse EliteBook X,Battery,BAT,Delta Electronics,147.65,11563,36,2022-02-12
AP1-DSP-0293,AeroBook Pro 14,Display Panel,DSP,Foxlink Corp,209.09,19399,24,2023-10-29
AA1-FAN-0294,AeroBook Air 13,Cooling Fan,FAN,Pegatron,143.47,16819,36,2023-07-13
T1G-RAM-0295,TitanForce 15 Gaming,RAM Module,RAM,Quanta Computer,59.91,13806,24,2023-04-10
AP1-MB-0296,AeroBook Pro 14,Motherboard,MB,Delta Electronics,101.2,16367,24,2022-07-28
T1G-BAT-0297,TitanForce 15 Gaming,Battery,BAT,Wistron,190.63,10963,36,2024-05-31
T1G-FAN-0298,TitanForce 15 Gaming,Cooling Fan,FAN,Delta Electronics,169.26,17374,36,2022-04-19
T1G-SSD-0299,TitanForce 15 Gaming,SSD Storage,SSD,Quanta Computer,33.97,15232,12,2022-05-25
AP1-MB-0300,AeroBook Pro 14,Motherboard,MB,Wistron,208.42,14201,12,2024-06-05
