sku,laptop_model,component_name,manufacturer,unit_cost_usd,units_shipped,warranty_claims_90d,failure_rate,warranty_period_months,release_date
WEX-FAN-0238,WorkHorse EliteBook X,Cooling Fan,Wistron,197.9,5299,52,0.0882,12,2022-10-22
T1-DSP-0239,TravelLite 12,Display Panel,Delta Electronics,81.43,16198,6,0.005,12,2024-04-27
WEX-RAM-0240,WorkHorse EliteBook X,RAM Module,Delta Electronics,205.8,19729,4,0.0246,12,2022-02-21
T1-SSD-0241,TravelLite 12,SSD Storage,Foxlink Corp,143.24,15979,39,0.0693,36,2024-02-29
AA1-MB-0242,AeroBook Air 13,Motherboard,Quanta Computer,212.48,16087,77,0.1574,36,2022-07-24
T1G-KB-0243,TitanForce 15 Gaming,Keyboard Assembly,Delta Electronics,68.51,19313,63,0.1078,36,2024-01-27
T1-MB-0244,TravelLite 12,Motherboard,Foxlink Corp,201.6,6260,111,0.1681,24,2024-03-17
N2-BAT-0245,NimbusPad 2-in-1,Battery,Foxlink Corp,206.56,1727,70,0.1565,24,2023-08-05
WEX-DSP-0246,WorkHorse EliteBook X,Display Panel,Pegatron,204.83,18302,16,0.005,24,2022-05-18
WEX-CAM-0247,WorkHorse EliteBook X,Webcam Module,Wistron,65.84,15537,2,0.0297,36,2022-07-10
AP1-KB-0248,AeroBook Pro 14,Keyboard Assembly,Pegatron,175.64,6250,0,0.014,36,2023-02-20
N2-KB-0249,NimbusPad 2-in-1,Keyboard Assembly,Quanta Computer,26.39,5107,16,0.0507,24,2022-09-12
AP1-RAM-0250,AeroBook Pro 14,RAM Module,Wistron,89.32,11301,7,0.0077,36,2024-01-11
WEX-MB-0251,WorkHorse EliteBook X,Motherboard,Quanta Computer,63.45,4373,71,0.126,24,2022-06-13
N2-RAM-0252,NimbusPad 2-in-1,RAM Module,Pegatron,154.34,12543,0,0.005,12,2022-08-13
AA1-CAM-0253,AeroBook Air 13,Webcam Module,Pegatron,40.48,14126,0,0.0194,24,2024-02-15
WEX-SSD-0254,WorkHorse EliteBook X,SSD Storage,Pegatron,169.51,3182,0,0.0229,24,2023-06-25
T1-KB-0255,TravelLite 12,Keyboard Assembly,Pegatron,24.56,18445,22,0.0501,12,2023-08-10
WEX-BAT-0256,WorkHorse EliteBook X,Battery,Pegatron,42.88,7230,42,0.1098,24,2022-04-04
WEX-CAM-0257,WorkHorse EliteBook X,Webcam Module,Pegatron,179.44,15468,7,0.005,12,2023-07-27
N2-RAM-0258,NimbusPad 2-in-1,RAM Module,Pegatron,161.34,7640,19,0.005,12,2022-02-16
N2-KB-0259,NimbusPad 2-in-1,Keyboard Assembly,Quanta Computer,156.48,2761,23,0.0498,12,2022-10-21
N2-BAT-0260,NimbusPad 2-in-1,Battery,Wistron,171.02,14274,7,0.0982,24,2023-04-05
N2-FAN-0261,NimbusPad 2-in-1,Cooling Fan,Wistron,25.01,4857,77,0.1696,12,2022-07-02
WEX-FAN-0262,WorkHorse EliteBook X,Cooling Fan,Foxlink Corp,120.11,613,42,0.107,24,2023-04-20
T1-FAN-0263,TravelLite 12,Cooling Fan,Delta Electronics,120.77,11842,49,0.1201,24,2022-07-13
T1-DSP-0264,TravelLite 12,Display Panel,Delta Electronics,14.83,1012,0,0.005,12,2022-03-10
AP1-MB-0265,AeroBook Pro 14,Motherboard,Foxlink Corp,102.65,8519,28,0.1114,24,2023-03-26
AA1-SSD-0266,AeroBook Air 13,SSD Storage,Delta Electronics,167.93,9978,13,0.0427,36,2023-08-13
T1G-KB-0267,TitanForce 15 Gaming,Keyboard Assembly,Delta Electronics,58.22,17580,30,0.1223,24,2022-11-04
T1G-MB-0268,TitanForce 15 Gaming,Motherboard,Quanta Computer,126.02,6238,36,0.099,36,2023-05-23
AP1-KB-0269,AeroBook Pro 14,Keyboard Assembly,Quanta Computer,207.62,10944,0,0.035,24,2022-06-02
T1G-FAN-0270,TitanForce 15 Gaming,Cooling Fan,Wistron,46.98,7884,41,0.0884,36,2022-05-28
N2-MB-0271,NimbusPad 2-in-1,Motherboard,Quanta Computer,127.23,4893,84,0.1775,12,2022-09-19
AA1-KB-0272,AeroBook Air 13,Keyboard Assembly,Pegatron,145.1,3529,42,0.1113,36,2024-04-29
AA1-MB-0273,AeroBook Air 13,Motherboard,Delta Electronics,64.91,2884,42,0.1212,36,2024-01-12
T1-SSD-0274,TravelLite 12,SSD Storage,Delta Electronics,109.63,1002,19,0.0584,12,2024-01-30
AP1-CAM-0275,AeroBook Pro 14,Webcam Module,Delta Electronics,201.86,13496,0,0.005,36,2022-11-26
T1G-FAN-0276,TitanForce 15 Gaming,Cooling Fan,Pegatron,106.85,12284,36,0.0947,24,2023-04-23
AP1-CAM-0277,AeroBook Pro 14,Webcam Module,Quanta Computer,169.47,10753,14,0.0114,12,2023-07-31
AA1-BAT-0278,AeroBook Air 13,Battery,Wistron,11.44,14183,19,0.0525,12,2022-07-20
T1G-SSD-0279,TitanForce 15 Gaming,SSD Storage,Wistron,88.53,11561,13,0.0576,24,2024-01-11
T1-CAM-0280,TravelLite 12,Webcam Module,Pegatron,105.7,5086,0,0.017,24,2022-07-08
WEX-MB-0281,WorkHorse EliteBook X,Motherboard,Foxlink Corp,119.08,2089,68,0.1463,24,2022-05-21
T1-SSD-0282,TravelLite 12,SSD Storage,Wistron,22.41,15442,34,0.0523,12,2023-09-25
T1-CAM-0283,TravelLite 12,Webcam Module,Foxlink Corp,147.77,13978,30,0.0568,12,2023-06-27
T1-RAM-0284,TravelLite 12,RAM Module,Delta Electronics,121.58,14609,28,0.0219,12,2022-04-09
WEX-BAT-0285,WorkHorse EliteBook X,Battery,Wistron,59.09,12114,28,0.0733,24,2022-03-22
T1G-FAN-0286,TitanForce 15 Gaming,Cooling Fan,Foxlink Corp,105.31,10329,79,0.112,36,2024-05-28
T1-MB-0287,TravelLite 12,Motherboard,Foxlink Corp,27.82,2338,69,0.1124,36,2022-06-25
AP1-CAM-0288,AeroBook Pro 14,Webcam Module,Pegatron,187.21,3624,0,0.005,12,2022-08-24
AA1-CAM-0289,AeroBook Air 13,Webcam Module,Pegatron,65.47,9687,19,0.0605,36,2023-11-05
AP1-BAT-0290,AeroBook Pro 14,Battery,Delta Electronics,204.9,19735,65,0.0598,36,2024-04-20
N2-DSP-0291,NimbusPad 2-in-1,Display Panel,Pegatron,71.45,13251,0,0.005,24,2023-01-29
T1-BAT-0292,TravelLite 12,Battery,Foxlink Corp,175.59,11833,37,0.0855,12,2023-03-24
AA1-DSP-0293,AeroBook Air 13,Display Panel,Wistron,80.21,13499,0,0.0289,12,2023-10-12
T1G-CAM-0294,TitanForce 15 Gaming,Webcam Module,Delta Electronics,112.01,14650,30,0.005,36,2023-08-23
T1-FAN-0295,TravelLite 12,Cooling Fan,Foxlink Corp,26.17,2908,17,0.0706,24,2022-06-07
N2-BAT-0296,NimbusPad 2-in-1,Battery,Wistron,164.81,670,48,0.0842,24,2023-01-04
T1G-DSP-0297,TitanForce 15 Gaming,Display Panel,Pegatron,36.09,18677,31,0.0326,24,2022-04-16
AP1-DSP-0298,AeroBook Pro 14,Display Panel,Quanta Computer,83.03,11130,38,0.0538,12,2022-10-26
N2-FAN-0299,NimbusPad 2-in-1,Cooling Fan,Pegatron,173.18,8454,33,0.104,36,2022-06-23
T1-FAN-0300,TravelLite 12,Cooling Fan,Foxlink Corp,43.93,5281,65,0.1072,12,2023-03-22
